Yakka Opening Book

Total Book Positions = 8507
Total Book Moves = 12184

$0005708FD29B49F4, $03000B91
$000F1CAC139AB565, $0100203C
$0015E6350480AA7C, $02001F64
$0019590907BC6FBA, $010028E7
$0033A039451059B3, $01001DED
$0038FDA90DD3AD36, $01002ECC
$004B5C5D95CEE4D8, $02000DD7
$004BCCFBFDBB8941, $020018EF
$00550C3A3DD6B22E, $01001ADA
$0059AB09428D07C8, $0100037A
$0068C5AE38A7C043, $01001E30
$0070976776C14BE5, $010012EA
$0071E1398306C3D8, $0100167B
$007AC38752CC6A91, $01001621
$0082B9B5ED4959A9, $010028F4
$008D29AE613C317E, $01000D1E
$0093A2ECB50D3820, $01000C87
$0097A624759AA44C, $02002C3C
$0098794FF7B2B9E3, $02001645
$009E61C1E5F22E4F, $020029F7
$00AC4D42CD8497AA, $01002D5D
$00ACC4D876C6575A, $01002F22
$00B784B2E2FDEDBF, $0100074E
$00B86052EB6F9362, $040010EC
$00B8965194C3783F, $010015E9
$00BC4B7375A5A054, $03000B8E
$00D166A18B2E0F20, $010004F0
$00D833F12C164793, $01002F4F
$00DD43805197F94F, $01001A63
$00E81A9E5B1323D3, $01002928
$00F2D27CBE8242E7, $0200109A
$00FB33B6BCC11167, $010025B0
$0120E67A4D28F73E, $02000FEC
$0120F8B1001824E2, $01002F96
$01298C19565A7319, $01001511
$012A95E212356AB1, $02000548
$012B202F81B923AC, $010009C0
$012D5A529B25AF80, $01002B98
$0141181EFF5ECBF8, $0100239B
$01472F7DD2148B81, $02000ABD
$014B75AF8570F7A6, $01000D62
$015F8E88AD08DC98, $01000D79
$015FC207FD2103C6, $010010E4
$01731324DC8A84F7, $020003E0
$0179336DFF72FE15, $03001DFA
$01849DD8AFCEF2B4, $01001D85
$01884E46F8E93040, $02001D56
$0199DC6C684CEAAC, $01002B94
$019DB27692ECC860, $02002803
$01A0375550AC35AD, $0100246B
$01AC6EAEEBF519E5, $0100098B
$01B6B62FEF96D204, $01001B38
$01C0C3A41AA5411E, $03000298
$01CC4C043A6BBE85, $01001967
$01CEF2B8D4F42379, $02002C23
$01D490CA5126E977, $02001395
$01E1A4AEC7F97AAD, $01000E82
$01F9787654558471, $020018C9
$02019733FA3A3F20, $020028D2
$0207240C116E3212, $010029DA
$020C6CF3E84AC94C, $01002A5C
$021415CC21568AE1, $0300020E
$0215CD034D402206, $01002639
$022B56AA26199545, $050010B8
$022E0EA0A133F03A, $010014D0
$023AEE410C807046, $01000C0A
$023C657A64E4B8A5, $01000621
$0250B7C39F9DBFAD, $030010A9
$02610D10C4661F2A, $04001209
$026452CB13897AFC, $01000EE2
$026F4B7CDCEEF32E, $02002D8A
$0279725DE26C2E4B, $010023E1
$028CFFC607EC81AD, $01001F5F
$029323CE3BE036F0, $0100268F
$029BCB302AE25A3D, $01002211
$02A4B920D3BE772E, $010026E4
$02A849C5F7691FDA, $01002DE6
$02B0E8D93E77649F, $020008FA
$02BB3FAC35D1211C, $01000F56
$02BF3D48A1D720F6, $01002163
$02C7EA894244A777, $01002D86
$02C930634E19F684, $010023E5
$02CDA9FF28121D14, $01001BD4
$02DD56B83128AEEF, $01002CE6
$02E1847A2303CC3A, $03000FD2
$02E6A74729A2E21C, $01000DFF
$02EFBE03E9C1B50D, $01001709
$02EFE1C65145F8A8, $01001A9D
$02F510392FD3F041, $01000FFB
$02F6C6E9AFBFD523, $02001CD6
$02FDCF6AFABC6B66, $010028D6
$02FEA63D8FC6189A, $0100286E
$03039E8980DCCAA1, $01001A87
$0304E81B52FF17C5, $02000C8A
$030873C18153F116, $02000D76
$030AF3E72EB96DE6, $010025E3
$030E9E87E2060A7F, $01001BEA
$030FE92D8F2D5D49, $01002D67
$0314BE94F01FF6E9, $0300008B
$031B38CE9574E7F3, $010020C2
$032383AEA5028386, $0100141D
$032BA57F90C320AA, $01002CBB
$032DA52B5462C9CC, $01002C1F
$03334A4256836FFC, $03000564
$0335254A75DC5B15, $01002915
$033EA293519D9CDA, $010026E2
$034C7A6A61EB5A9A, $020017E1
$035DAA709CD470BA, $0100123E
$035DF70CEC7AB51A, $0200020C
$0365AE002E11E8FE, $02000AE7
$0365AE68934A0C15, $01002DAF
$03760F4B60C3227A, $010009B4
$03788C6071BC840D, $020016BD
$037BE67200A2E067, $01000D0B
$037E40C33AA50758, $01002293
$03884ADB1676FA44, $01001431
$0392AF82F112DF3F, $02002467
$039EC0620C889446, $02001740
$03AFB3F6BE1FA47A, $01002E95
$03D7649A019F8A04, $0100275F
$03DA6A4A3D7D792B, $01002388
$03E371BC2B3FCD56, $01001D17
$03ED7BBF3BB5DF03, $01002EAF
$03F2FDB3365533E9, $01000CD1
$03FA6C2F61EAD767, $02000EC8
$040059D777B493ED, $01002DDC
$04060D9D328F4B3E, $0100288D
$0406CC0B9AC82FE1, $01000BB4
$040BB3024CF66693, $01002314
$04317DBEBA154D92, $0200137A
$0431880603ACFA67, $01002452
$0434F8053DD74F0B, $010008D4
$044B8C93CEB96210, $020013CF
$044C39B1D9F84AE2, $01001DA5
$0472E19A06D7E411, $0100248E
$047DA17DB2C18897, $0100291B
$047E2C1DA21F7741, $010004B5
$0485AEB213516C0F, $010025DE
$048672104EBF6BE3, $0100215A
$0491DE9DAB64852C, $01002662
$0493962BDDB526B2, $02001058
$04966222BEDE8D63, $010016C0
$04A6B674B94BA21B, $0100112A
$04A6D127425436D3, $01001EEB
$04ADF2E4D7D5E1AE, $0300153D
$04AEF420BAC0BFCF, $0100236E
$04B3B78DE106B6AB, $01000A31
$04B8054A0A1F3128, $01002C38
$04C1BE0C6695D2F3, $02001202
$04C47893803F2436, $01001A4C
$04C583E89B956BF4, $010025EA
$04D547C219EAF560, $02001516
