Yakka Opening Book

Total Book Positions = 4444
Total Book Moves = 6375

$000E904E0E062B59, $01000FD7
$002A90188DA283BC, $01000FF4
$002B0272380C1FD0, $03000C72
$002B44A57770B1D4, $02000A12
$00345909C6481AF2, $03000544
$004EDD4DA1357788, $01000BF9
$005D320B1501D6A5, $01000D39
$00699812FAB9ABCB, $0200112D
$0080B81A9147BD1C, $02000851
$00846EA811656EE5, $01000D8C
$008A42AD70F879FF, $01001153
$00A37ED8390EA906, $010014BB
$00A6A9647D9FE861, $030001F4
$00AAF5908E726361, $010003A2
$00BB1A4099FE2FED, $01000CD5
$00CF1D427D6B7479, $01000F3C
$00D36BD16436362F, $010003B0
$00E649A6700E2A2A, $01000320
$00F5EC9A896EF76D, $01000ED9
$00F79D99864CD052, $02001837
$011D6178A274F745, $040005AA
$013EEA588A0F0C13, $01001444
$0147306A3FEE0547, $0100135C
$014E4349F3427E1C, $0100185A
$0159CDBD6719DB56, $010016D6
$015A3AC49239909F, $01000A0F
$016A60A77552BD85, $01000B1A
$017EEA137A9B5892, $02000453
$01801342400EC114, $0200070D
$01A0FEAFDCCEE52E, $01000F11
$01B0F1D17352CC95, $01000699
$01B7C2BDCC4EF7D5, $0200079F
$01BCE7CCE72A4893, $020014B4
$01CCEE58B3B66558, $010013B2
$01E81334B5D87C84, $010010C8
$01F78BA6FA21B281, $01000A93
$01FA1EEF30C7A517, $010015EE
$01FA8CD1B81F1130, $01000D1C
$01FB93C9F2F9274D, $01001647
$020CF363B6121BC5, $030008FF
$0210502769FE3728, $010006E6
$0223CFCBEA662BCD, $020018BD
$022F79086775A8C6, $01000E6C
$023A00FB58E8F515, $01000097
$02427A52C03DEE51, $0100120E
$0244EE12CE8D7D65, $01001071
$025A425FC43A3AFF, $010008FA
$0276A57525D5C190, $01001399
$02791F3BFE451821, $01001872
$02898832DEF3CE1E, $01000267
$028E0BD6DE664C81, $01000C86
$028E93739791B33B, $0100074C
$0292F45691287295, $010016AB
$0298D277467DF14C, $01000336
$02B00166E6871412, $01001224
$02BDBAA0D2C377EF, $01000B57
$02BF26A1E0E16859, $02000155
$02C7D1CED230B5C4, $01000FE1
$02CE74EB597A1D8C, $01001147
$02CFC367EF174C58, $02000C2F
$02E0777B6D99C8DD, $01001177
$02EB317903573BAC, $01000073
$02ED3B976C65FF48, $010009C7
$02F3CE0971833E74, $01001658
$02FFDD3C01439811, $02001547
$031B27F59F6DB504, $01001001
$0321F30AC7391650, $010013C4
$032C66DC8A37D897, $030004A4
$0333766A1D502378, $01001880
$0334E765144F899D, $01001461
$0334ED913884A07D, $0200164B
$033C84C1FA02DDE0, $0200083B
$034FD3387E4C88FB, $0100173B
$03794DB4650F23A1, $02000891
$0388729751A7A483, $0100170B
$038CDD89803326A3, $010018E4
$039081C05B0B8860, $010018D4
$03A162836C548408, $030001A7
$03A1BFED605B2D56, $01000C70
$03A39CE5919CB81B, $010015FF
$03A92E7137E4C9D8, $030006A1
$03C58D218ED14D20, $010006A9
$03D1F3EE7AACAE06, $01001151
$03DDCDAE5992CEC9, $01000D7E
$03DED0E4616CE22A, $0100071D
$03EC1ECDFB3BD874, $0100189F
$04059FFB7D98FF97, $0100141A
$0407EF90980A9FAD, $01001521
$04104B2188D643F6, $0100087F
$0410A680F7D1B1AF, $010018D9
$041344F305DC7CB8, $01001789
$0417EA44CD32245B, $020007D3
$041B02F832BC5995, $02000D7F
$041EE281AA5B237D, $010004FC
$0421E041733A0261, $01000563
$0433A465A9BB1CF9, $01000E6F
$043E34F46308AE3B, $01001533
$044489591EA26A88, $0200148E
$045E83DF3A7909DD, $010018AC
$045F4B1A584E70FC, $0100154B
$046059774FECD1F8, $01000A0E
$04634C5B57C1DB8F, $0200019E
$04680EDF8B379B38, $010014A7
$046A00FA459389F5, $01000A38
$0473C04A5039EC21, $0100022B
$04814CC0ABB2A69C, $02000273
$048670C2D0C66FC4, $010003E6
$048E73018969062C, $01001867
$049058BC54C896F1, $010017F3
$04B3497484D40243, $01001354
$04CDE81527F4F3E6, $01000A8F
$04D47393EBD3685F, $010012CB
$04DA77A7F0FF322F, $030001A1
$04ED337F8A6218FD, $01000F58
$0507E37D6D35B42E, $01000885
$051A4C08A9B1E9F5, $03000192
$052B537911A87F8E, $010009F5
$052F55B95A5A0B02, $010006DF
$054202258FA56319, $02000880
$054ADAA569137CC0, $010009BA
$054E0157F450E736, $01001179
$0564AB3722B86CCF, $01001859
$05724B7329657D69, $01000B3F
$057571042F50E18B, $0100171A
$057B69859AD45775, $01000820
$05A0E89C7C7D1CAA, $01000585
$05A44C04719EDBF1, $0100099B
$05A92A9DCCE33D9D, $010016BA
$05B969DE4D47D368, $010011E4
$05C472232EBA07C3, $020008AC
$05FED43F3D15EEA7, $03000A2C
$061138F1190B89D4, $010016E5
$0627A4F586BBE08E, $030008EA
$062C31391473A576, $01000D77
$065AA62AA6222FDB, $010015A2
$066C39772263A7BF, $010012CC
$067F38BC0A08B4C1, $02000561
$06809E70AC98FFF0, $01001346
$0684752529A5C9E6, $02000A41
$0687980AC9C5AA53, $01001212
$0689EF9FDE03E595, $010016CC
$069B5F91EF06F112, $03000589
$06A5BC6C40D8C5AC, $01000E1F
$06AB1B36A1463EAD, $030007F5
$06B77766F8854016, $050000D5
$06C76D7D0749D84E, $02000D74
$06CA3672070C1B5F, $010012F1
$06D0F9378D723F88, $01001359
$06E643B34CC8D253, $01001459
$0702DDBCAB75EC35, $0100126E
$071810AA27C3872A, $0100055D
$07285EA5A4C360E4, $01000123
$0740F3231613835C, $01000629
$074705D0816BC4FB, $02001846
$077D9C658C140886, $01000AFD
$078FCE1FB413E506, $01001222
$07CD1F00B1E63C56, $01000671
$07D0F8E9873FB4AC, $010012C0
$07D76C7FBAE2D108, $01001256
$07DCB7FC28675E67, $010001A6
$07EA02FD42D0EFC5, $010007A3
$07F37C6AF88C4158, $01000722
$07F6F7DEDF9BA335, $01000942
$080EA5EDF8EB9A4E, $010016A5
$0819016E9276628A, $02000792
$0839A36D8686C7B2, $05000147
$085DADAB571B4E99, $020015C7
$085E53A191A457DE, $020014C4
$0874F2187240473B, $01000D33
$0881F705F9067CBC, $01000B40
$08847588F34563A4, $01000F75
$088941553298905C, $0100135E
$08AE51F3E2799310, $010001E4
$08C5B5B93C8F42C1, $02000C99
$08C82F03CB296EB2, $010015BA
$08C85D541F6EE53F, $01000618
$08F0C60DCDC2D91A, $010017B1
$08F0D1B3873FD283, $01001783
$08F502EFAFC41800, $01001887
$091283355BF51B88, $01000D55
$092279ECA9A8419B, $04000D01
$09325BB56E878C99, $01000E47
$0953DD7CA711798F, $0200053E
$095A0CD2F9DBDA9C, $05000B77
$095C50F9D5A8FB41, $0100024B
$095E171F122A93B2, $0200098E
$096DB94C8F5E24D4, $010017A7
$0988F43683B11164, $01001810
$09ABD6488E080205, $01000E63
$09BC49A29E384335, $01000D85
$09D5E36068C51F18, $010011B3
$09E7D35EA444C8E5, $01001796
$0A037E1B58B4D1D1, $02000821
$0A055E1786C30040, $01001818
$0A546594C518B931, $01001152
$0A65A01281517E0A, $02000247
$0A69A28E6AD8FBCD, $01000816
$0A715F09462A57FE, $01000D6D
$0A910A58C2CEC41C, $020015D0
$0AB4831A6E0D2E6A, $010011BF
$0AB5716A3BB64A08, $01001663
$0AD074C014ADB6CD, $030004E3
$0ADAB0F2516E77E5, $01000550
$0AF7146B5CE03DF0, $0100064C
$0AFDA6C3B88AFA12, $010015F5
$0AFE221A04E2DA83, $0100116D
$0B0880B4CF38F05F, $010012B8
$0B0B26BE95042CD2, $0200123C
$0B0ECD42FBFA7886, $01001522
$0B1B125A16C5BFFF, $010011F7
$0B1D1E38D15D0DE7, $01001638
$0B1DAF78C0C74639, $01000517
$0B32915BD620726E, $01000813
$0B36245EC9D42657, $010018C9
$0B4E4EB2E58CA0AE, $02000D92
$0B52C979DD16EFED, $010008D9
$0B73CA946CC5A456, $01000814
$0B74B6F034143693, $02000497
$0B96D4DBFED875F4, $01000233
$0B9BC139860D9568, $0100132A
$0BADFDEE0BF45D80, $010017CF
$0BB50B636853CF84, $01000072
$0BC7667A7726893E, $0100173D
$0BE35EBC8A081C2F, $030018C0
$0BF2F132372991EB, $010009EA
$0BFA254D6D4BB4B7, $0200033A
$0C05929CAF776A78, $02000A6C
$0C170DE5D3B39A2B, $03000D9F
$0C1C383FE4A19731, $030008DA
$0C40B4E21E2E3B92, $0100086F
$0C447612C2B51DDD, $0700014C
$0C4E48AA6C7D42DE, $0100008E
$0C5852936B9668E0, $010016F9
$0C6FC879DF39E6F0, $030005A2
$0C7638A4504F96F3, $020010CE
$0C85CC02511C854E, $01001292
$0C9F792837C28C67, $020000F5
$0CD33A7B12AC4D78, $01000BB8
$0CEC9A2672E84687, $0200032F
$0CF625C84A369F6B, $01001378
$0D09CC0693259EAE, $010014BC
$0D0A0F3825E13DCA, $01001472
$0D1A82979A59B6B2, $0200032B
$0D258057433897AE, $01000736
$0D30D8AFCED39AF0, $010010EE
$0D3888F7A9FC1480, $01000AEF
$0D43D243BD4C267E, $0100182A
$0D48CC90CE976A2B, $0100082E
$0D50C2AEE96DA8D3, $010014BE
$0D66C41FADBA5EBC, $010014F8
$0D6BFDD8470FDC80, $0100149F
$0D716DF64B3D0DDD, $0200095A
$0D77A05C603B79EE, $010003A0
$0D7A0E23172DAFD4, $0100145D
$0D80E8C2801D0868, $010016C8
$0D828C301958E069, $0100092F
$0D8CAA0D4F4E7849, $01000C59
$0D90F7E66FE43C3B, $01001695
$0DA799F83A4AEBF1, $020009E5
$0DA8CD3FEB7EC98B, $010003CA
$0DD86F739EC2BDF7, $01001206
$0DDB19DCDB0D1141, $01000515
$0DDE25CE68C6BFB1, $01001004
$0DE270B9FD6F5DC3, $01001861
$0DEF0A9A7B8A5558, $02000E80
$0DF6110759243C21, $01000BAE
$0DF6E08200B497A8, $01000A6E
$0E080B15A17AA3AC, $010011F0
$0E0BFEF57FBAE2B7, $0100096F
$0E1CDA4358D6C76D, $01000F12
$0E1DD043CE2C1C00, $02001171
$0E1F9D7F9D5B6C78, $01001491
$0E24B4C266ACBC30, $03000DC5
$0E3360720E9625E1, $010017C9
$0E3533488353CB5B, $03000C10
$0E3DA42DA7DA4C6A, $010014DC
$0E478EF4DCB3B153, $01001766
$0E51522C9E177882, $0100175C
$0E55B7EAE1BF0E89, $010018CF
$0E6340B39131B92F, $01001117
$0E6FD94ABC489E73, $01000C03
$0E9C36709BB91D67, $01000ED1
$0E9D0BEBDEF43D6D, $02000269
$0E9D99E041FB62F2, $01001105
$0EA787FB86BCF826, $0100051F
$0EBB9DBDBB82CE73, $010016AD
$0EC8093801A1020C, $01001345
$0EDBAA519A1ED4E0, $0100026D
$0EE0EFEB78731B07, $01000D1D
$0F035D37DEEFB3FF, $030002C1
$0F074B52B1DCFC49, $010015BD
$0F15B690C06ABC91, $01000300
$0F49C39EF7815C83, $010008DE
$0F4A81E251AF9EB5, $010005BF
$0F5732E10AD52D44, $0100145E
$0F59161619C44DBD, $01001154
$0F5AA2BE742FF4C6, $01001290
$0F8AE71B2221D357, $01000AE3
$0FB69713545E081E, $0300144F
$0FE4B0E1B2BFD865, $01000674
$0FE798FDEE86EAE8, $010012FC
$0FEC56CB2B7113B5, $010017AC
$0FED8F8C4F1A9271, $04000665
$0FF11E2CE107EB07, $0100102D
$103A56BF22926EFE, $01000355
$104D7A9809BD9646, $01001694
$1063EA0509A81B45, $01000BFA
$1066C7E377BB2E2A, $01000BAD
$108A3247D64E9D3D, $05000052
$10901DF40480B0A6, $01000B22
$109D2E923CA8F933, $01001707
$10A3580FAC73AC9D, $01001456
$10AFF7B2164939C4, $010017A3
$10BB2D366E570B46, $0100066D
$10D31F824C1ACB6A, $01001505
$10EE623F1B70CD1A, $010015FE
$10FADA88E01A4498, $01000DED
$10FF119E175DFAA9, $01001573
$110292AF94A4E995, $02000C95
$11160E8DAF391B0C, $0100079B
$1119225F6550A886, $010008BC
$111B3B3671CC9CEB, $02001452
$1125558B09085A01, $01000399
$112A945621ABBC25, $02000F2A
$1138400AE1E6448E, $01000878
$1142E67D9B139A84, $010014E8
$1157F05D73F2C9D0, $01001289
$1157F193EB0D484F, $02000068
$1171AF603D6C8338, $010014A6
$1175681C01764750, $01000F33
$1178C2AB14C05A06, $01001679
$117BF33BD6065DDE, $01001602
$119AB6C7F1AFA396, $010012BB
$119C1940F5447233, $03000564
$119F5C73CE098B26, $01001843
$11B1E66AE73EED6B, $01000F2C
$11B3D939A51E7287, $01000A83
$11C6CD2635FC64CB, $01000EE5
$11CE394BD6479C73, $0100094F
$11D5A3214FCC8C61, $01001390
$11D8CA53A4873827, $01000246
$11DC5F64F6D1A3F7, $010003DF
$11F38C1491740FCA, $0200140A
$11F4195D86519FCB, $01000BFD
$1205EC9C5B5F3531, $01000BDE
$120AFACF0DD2E0C3, $09000B64
$12A4E39DF747ED5A, $0100091F
$12A993E74DF59586, $020010AC
$12B149A5BDCB6B6D, $0100162C
$12B5D8F0322C09B2, $01000B0F
$12B7934C4EE154D9, $010016E6
$12D04C2346333D18, $01000676
$12D111986FCBC4EB, $0300021C
$12D759E2AFA3B7D8, $01000AB0
$12DD3E2B1CA578B9, $0100025B
$12F226549B6E58E9, $02000D22
$12F91EB1F43CC14D, $01001029
$130135CF2D9DCE7B, $010017EB
$130F797969B2A18B, $02000B1F
$134945FCBED3ACD3, $01000510
$134BA2A836A9C5A3, $01001804
$136D9212FC1500AE, $010011BE
$1370AEB8FD423962, $01000C65
$13A100811F4F051A, $01000F74
$13CFD367FF971D17, $010012C8
$13DAA29B3B1B8754, $02000ECA
$140B1CD4C1964FFD, $01000170
$1411A41F54378252, $01000A07
$1415C7E595BA3B05, $010012EB
$14193583038866DC, $020008C8
$141AF76C0B7DCA7B, $0100142B
$14208F9E0CADB85D, $02000368
$1422BBBEF4E897B7, $01000C16
$14273742F81FD6DE, $01000C8F
$1428B84850EBED07, $01000BDB
$144B1E9819FE0F51, $020012E6
$145C7C8DFC1ACD8F, $01001442
$1462687210770C78, $010018DF
$1487255C54865316, $0200062D
$148A08AA2A02A570, $02000D2E
$14A88640E5D730E0, $01001742
$14ADA83029AD450D, $0200180B
$14BCCB1B5366BEDF, $010018B2
$14BEF3DCFEB6C101, $01000E54
$14F2B87207096957, $010009CC
$150936B810B18853, $010018A7
$1512E1ED65153110, $010013B4
$1522E7826CB9CA23, $010012B6
$15235DA92A7958EE, $01000C7E
$152E474D21C8ADD6, $01001431
$15512AA145E1C2DD, $020002AA
$1568CEFBCE3B67A0, $0100025A
$156B73A669377EA9, $02000B13
$157442DF92A5866F, $02000DA5
$157F47D0D09733FA, $03000C92
$15827B202C40B71D, $01001420
$15870D4CF03111B5, $01001709
$158A2E3B9EFA5CBF, $01000459
$1598E8A1E5E6CFD4, $01000CB1
$159B1563AB9B801C, $01001646
$159C097EAD873B0F, $020006CE
$15A0D3842C40DCC3, $01001899
$15A6D4AB7B417EA5, $0100106A
$15B20587F52A8F08, $01000669
$15BB3AEA088FC51C, $01000675
$15D54B034821A80B, $020007F9
$15DE128B23DA4616, $01000EF8
$15DF3CD60686091E, $010006A6
$15E05A25D6F4AFCE, $0100084B
$15F07C2091D83DE4, $01000D7C
$15FC6F9BDBA9F377, $01001790
$16020E715DE12412, $01001393
$16090FE138E3B651, $01001083
$160A72C035EEF882, $01001200
$1629484DEC85AF7C, $040010A0
$162FECC9F376C820, $0100182B
$163278865006AA20, $01000976
$1639503E481BBD10, $0100036B
$163D4E60F1A307EE, $01000BA4
$166F2F6757C21C7C, $01000C32
$1678387A186FB55C, $0100171B
$16815296583F7E99, $0100121D
$1697ACAC8173114F, $01000BD6
$1699CD330A1DE83D, $01001639
$16A2218B9A3759E1, $0200069D
$16AB07B50448A0EB, $01000922
$16B811DF65A913E6, $0100154C
$16BC1893F5C8AC5F, $020001F0
$16CD8F057C3C8D8E, $01001351
$16D678C1F8408B5F, $01000718
$16E4D59B30D7657A, $020004EB
$16F3469BAAADE97E, $010012D0
$16FB744D26AFF073, $010014BF
$17109D9C7B503482, $010015AD
$171A45043083AA21, $0200101A
$17259736C091BFA3, $01000B4D
$1727BFB17D9CC679, $02000765
$1731E329EEB7B678, $0100071C
$17360ABC3F8D948F, $010018AF
$1747FBF827BAA074, $02000DC8
$1752B77C2761FEB3, $02000D6F
$1754DD1E809F5C04, $010003A9
$175684783F4FC63E, $010013C9
$1767FC50C35AD775, $02000A60
$17ADCFA5A8A0DA9B, $01000F85
$17C8144AB6A465F0, $0100137B
$17CF23EF22FEB5E5, $01000C7D
$17EE7FE5DED885DF, $010012F0
$17F947E8687FBDCC, $01000BFF
$1809BB6888A1FB59, $0300117F
$183498BF8F13CB31, $01001207
$184618CE479216B1, $010014C3
$184B6793A4F26589, $0100090D
$186204101CE23BF9, $01001876
$18627FB4CFC0FCF8, $010013E9
$1869A30B9CAA1BBF, $010002CC
$186C9345026EFC9C, $02000349
$1875BF0649EBEF51, $01001791
$1887FEA942C687BA, $04000DA7
$18A16F92289D35DA, $040004CD
$18A77B961C27C6E0, $01000B3C
$18C9B11AC9C78F03, $01001772
$18D1BF0C695F0120, $010012D2
$18DD91E261FCE1E6, $01000AEB
$18DFD341330E4BC5, $0100104E
$18E7987C59C3A646, $01000BC9
$18F55B9D3F2428A0, $010006DA
$190F0767483DF8AF, $01000301
$1930B1133806495E, $02000F3A
$19311FAB4A1D587A, $01001373
$193460AC9ED4C529, $01000BA1
$1945BC91EB611437, $01000F0C
